1,H,1
1,D,2
1,T,3
1,H,4
1,H,5
1,H,6
1,H,7
2,He,3
2,He,4
2,He,5
2,He,6
2,He,7
2,He,8
2,He,9
2,He,10
3,Li,3
3,Li,4
3,Li,5
3,Li,6
3,Li,7
3,Li,8
3,Li,9
3,Li,10
3,Li,11
3,Li,12
3,Li,13
4,Be,5
4,Be,6
4,Be,7
4,Be,8
4,Be,9
4,Be,10
4,Be,11
4,Be,12
4,Be,13
4,Be,14
4,Be,15
4,Be,16
4,Be,16
5,B,6
5,B,7
5,B,8
5,B,9
5,B,10
5,B,11
5,B,12
5,B,13
5,B,14
5,B,15
5,B,16
5,B,17
5,B,18
5,B,19
5,B,20
5,B,21
5,B,21
6,C,8
6,C,9
6,C,10
6,C,11
6,C,12
6,C,13
6,C,14
6,C,15
6,C,16
6,C,17
6,C,18
6,C,19
6,C,20
6,C,21
6,C,22
6,C,23
6,C,23
7,N,10
7,N,11
7,N,12
7,N,13
7,N,14
7,N,15
7,N,16
7,N,17
7,N,18
7,N,19
7,N,20
7,N,21
7,N,22
7,N,23
7,N,24
7,N,25
7,N,25
8,O,12
8,O,13
8,O,14
8,O,15
8,O,16
8,O,17
8,O,18
8,O,19
8,O,20
8,O,21
8,O,22
8,O,23
8,O,24
8,O,25
8,O,26
8,O,27
8,O,28
8,O,28
9,F,14
9,F,15
9,F,16
9,F,17
9,F,18
9,F,19
9,F,20
9,F,21
9,F,22
9,F,23
9,F,24
9,F,25
9,F,26
9,F,27
9,F,28
9,F,29
9,F,30
9,F,31
9,F,31
10,Ne,16
10,Ne,17
10,Ne,18
10,Ne,19
10,Ne,20
10,Ne,21
10,Ne,22
10,Ne,23
10,Ne,24
10,Ne,25
10,Ne,26
10,Ne,27
10,Ne,28
10,Ne,29
10,Ne,30
10,Ne,31
10,Ne,32
10,Ne,33
10,Ne,34
10,Ne,34
11,Na,18
11,Na,19
11,Na,20
11,Na,21
11,Na,22
11,Na,23
11,Na,24
11,Na,25
11,Na,26
11,Na,27
11,Na,28
11,Na,29
11,Na,30
11,Na,31
11,Na,32
11,Na,33
11,Na,34
11,Na,35
11,Na,36
11,Na,37
11,Na,37
12,Mg,19
12,Mg,20
12,Mg,21
12,Mg,22
12,Mg,23
12,Mg,24
12,Mg,25
12,Mg,26
12,Mg,27
